2017	10	41	2	757
2015	7	30	4	622
2014	10	43	1	591
2016	12	51	5	692
2017	5	21	5	771
2016	8	33	5	707
2016	4	15	7	557
2018	4	14	4	520
2015	7	30	2	606
2015	11	47	1	618
2016	4	13	5	698
2018	4	14	2	543
2016	2	5	1	716
2013	8	34	3	562
2015	1	5	1	484
2015	9	39	1	624
2012	7	29	2	648
2016	12	49	1	791
2015	9	36	4	665
2013	10	42	7	490
2013	6	26	5	608
2012	10	41	3	640
2016	3	9	4	625
2013	12	49	4	573
2014	8	32	6	538
2017	12	51	6	563
2015	7	29	1	668
2018	3	12	5	724
2012	10	41	5	594
2013	3	12	4	507
2016	7	26	5	749
2013	1	3	5	561
2015	12	50	5	694
2016	2	5	5	607
2012	8	34	4	574
2012	12	50	4	545
2017	12	49	6	536
2012	11	45	4	550
2015	11	45	5	616
2015	8	33	2	601
2013	6	23	4	605
2015	7	29	3	610
2013	1	3	7	393
2012	9	36	7	464
2013	12	50	5	695
2017	4	14	7	539
2015	7	29	5	659
2014	8	32	4	585
2015	2	7	2	571
2016	12	48	4	734
2013	12	50	3	605
2016	10	40	6	633
2016	6	22	4	678
2015	5	22	4	682
2018	2	7	7	468
2015	1	4	4	508
2014	12	1	1	411
2016	5	20	5	779
2014	3	12	5	589
2013	5	18	4	585
2017	3	12	6	567
2016	5	20	3	674
2013	12	51	4	607
2015	4	14	7	422
2014	11	48	5	444
2016	1	53	6	422
2014	5	21	2	650
2014	11	48	3	742
2016	2	7	7	482
2013	4	15	4	517
2014	5	21	4	593
2014	9	38	5	648
2013	7	31	1	597
2017	11	45	1	674
2015	9	39	3	501
2013	4	15	2	613
2016	8	31	1	569
2014	1	3	2	558
2017	7	28	6	646
2015	6	26	5	774
2017	6	25	4	840
2014	1	5	2	504
2014	2	6	6	424
2015	6	26	3	777
2013	1	1	7	393
2015	8	35	4	614
2017	5	21	7	469
2013	8	34	5	636
2013	5	18	6	580
2016	11	47	2	765
2016	7	29	6	647
2014	6	25	3	663
2014	10	41	5	541
2015	2	9	2	580
2017	11	45	5	721
2015	10	40	7	536
2014	9	36	1	392
2016	7	27	6	497
2014	1	3	6	448
2013	10	42	3	548
2015	4	17	6	591
2014	8	31	5	667
2018	3	13	4	602
2015	4	15	4	452
2013	4	17	2	513
2016	3	9	2	661
2014	5	18	7	451
2015	3	9	7	693
2014	4	15	7	482
2017	6	22	5	733
2013	10	40	5	658
2014	4	16	4	508
2012	10	43	1	608
2016	3	11	6	519
2018	1	1	2	645
2013	9	38	2	627
2014	2	9	5	655
2012	10	43	7	403
2017	7	30	4	605
2015	10	43	2	714
2014	11	45	4	652
2014	2	9	3	511
2017	8	32	7	554
2013	11	46	6	612
2012	8	32	6	507
2014	10	44	4	626
2012	11	47	6	458
2013	10	42	5	680
2017	5	18	6	679
2016	1	4	1	659
2016	4	14	2	667
2016	1	2	7	451
2014	10	44	2	571
2016	1	4	5	645
2016	9	37	4	754
2015	6	23	4	551
2015	10	42	1	505
2016	4	14	4	626
2013	8	33	2	552
2014	12	50	6	594
2017	9	37	7	581
2014	3	10	7	404
2015	6	23	2	642
2013	1	4	6	558
2015	5	20	6	649
2016	7	28	3	601
2014	3	10	1	440
2012	7	28	7	494
2014	11	46	3	546
2013	2	6	7	400
2017	4	15	6	494
2013	9	37	3	577
2013	5	20	4	559
2017	8	34	7	493
2016	11	44	3	665
2018	3	12	7	484
2013	3	13	3	441
2012	11	44	5	345
2013	5	19	3	620
2016	11	44	5	777
2015	12	50	3	575
2017	1	3	7	408
2013	9	36	6	585
2016	6	26	4	757
2016	8	35	1	674
2012	8	35	1	548
2017	3	12	4	702
2015	9	40	2	557
2015	3	12	6	507
2013	7	29	3	609
2013	12	49	2	553
2016	6	23	5	679
2016	5	18	3	651
2017	12	48	5	769
2015	2	6	1	680
2018	2	9	3	638
2015	1	5	5	622
2017	10	43	2	675
2014	12	52	4	303
2017	2	7	4	638
2014	12	49	1	644
2015	3	11	5	609
2016	6	25	5	807
2015	1	5	3	458
2014	8	34	4	567
2016	3	13	4	642
2012	11	45	2	514
2014	9	40	1	566
2017	2	7	2	680
2016	5	19	6	586
2016	8	34	2	637
2016	10	42	6	629
2013	3	12	6	488
2012	10	42	4	630
2017	12	52	5	597
2014	5	20	5	700
2013	6	26	7	423
2012	12	51	7	408
2013	4	14	7	451
2012	12	51	1	649
2016	5	21	4	738
2014	6	23	3	582
2015	8	31	6	668
2013	4	14	1	479
2012	8	31	3	615
2014	8	33	7	476
2017	3	12	2	632
2013	5	19	7	527
2016	7	28	7	571
2017	8	35	4	612
2014	8	33	1	604
2014	1	4	7	465
2015	12	49	2	746
2014	10	41	3	639
2015	6	25	2	593
2015	6	25	4	615
2017	5	19	7	630
2014	6	26	2	632
2013	1	1	3	480
2014	2	7	5	791
2017	6	23	4	658
2015	4	16	7	471
2014	10	42	2	696
2017	6	25	6	749
2016	2	5	7	423
2013	11	46	4	620
2017	12	49	2	701
2014	10	42	4	602
